Sample	Cerebrum_1	Cerebrum_2	Cerebrum_3	Cerebellum_1	Cerebellum_2	Cerebellum_3	Retina_1	Retina_2	Colon_1	Colon_2	Colon_3	Liver_1	Liver_2	Liver_3	Small_Intestine_1	Small_Intestine_2	Small_Intestine_3	Stomach_1	Left_Atrium_1	Left_Atrium_3	Left_Ventricle_1	Left_Ventricle_2	Left_Ventricle_3	Right_Atrium_1	Right_Atrium_2	Right_Atrium_3	Right_Ventricle_1	Right_Ventricle_2	Right_Ventricle_3	Kidney_1	Kidney_2	Kidney_3	Lung_1	Lung_2	Lung_3	Spleen_1	Spleen_2	Spleen_3	Ovary_1	Ovary_2	Ovary_3	Uterus_1	Uterus_2	Uterus_3	Testis_1	Testis_2	Testis_3	ASA_1	ASA_3	ILB_1	ILB_2	ILB_3	ULB_1	ULB_2	ULB_3	GOM_1	GOM_2	GOM_3	MAD_1	MAD_3	RAD_2	RAD_3	PAD_2	PAD_3	LIN_1	LIN_2	MAS_1	MAS_2	RHO_1	RHO_2	TA_1	TA_2	TA_3	GAS-L_1	GAS-L_2	GAS-L_3	GM_1	GM_2	GM_3	PM_1	PM_2	PM_3	SOL_1	SOL_2	SOL_3	PEIC	PK15
Cerebrum_1	1	0.908992931968627	0.90630427933792	0.787161278923816	0.779760643210526	0.74195722487348	0.590797780382165	0.59348828748554	0.608072409492188	0.573577302505401	0.592958106495518	0.513971431328796	0.497674140633298	0.488050505161597	0.597683533435794	0.561343746360537	0.559391952983252	0.562612430766902	0.610111061313186	0.564577641717463	0.582110790889299	0.560912578679893	0.557388790331584	0.613949965701745	0.589976884073552	0.562031829872953	0.582457302114678	0.566850640278112	0.561565025445566	0.577415624591707	0.555051489405291	0.531473831710377	0.590958827545496	0.56849393601798	0.578367199472511	0.542483930641962	0.521010960196183	0.543940734697497	0.655692587409374	0.616722052197707	0.617885412928476	0.636300616998851	0.576022030392248	0.5834475278648	0.416589825422663	0.414405525940146	0.392053780344617	0.572087883802259	0.509669422203543	0.549625899162781	0.573417796752717	0.5534463035279	0.565924222468464	0.563842816341849	0.529994257657534	0.594105282411736	0.599112726845427	0.592580957593033	0.550507598322928	0.60642893453504	0.598341135654192	0.564077438357987	0.603476692973133	0.607333029736553	0.567253597910163	0.567424037739672	0.515818528135597	0.494813625617284	0.529211627518757	0.477604432839576	0.527714480834518	0.49535125530052	0.453349765992313	0.508406246722141	0.48687875353476	0.48445514486109	0.511409678478865	0.488172320153071	0.473188655559309	0.49653315689198	0.478312291370254	0.482194325638146	0.531302442000004	0.488666719714692	0.523652094391326	0.368037745743199	0.36767224438856
Cerebrum_2	0.908992931968627	1	0.895062106165058	0.766968589838535	0.784283856870459	0.737653805151704	0.584701172281085	0.587873476017339	0.594886235976159	0.578905086921655	0.590047631545012	0.507423622998524	0.510450018447678	0.492206660484721	0.585912893586874	0.561478069986918	0.554598741144092	0.559495814599478	0.60003229570877	0.572284242755114	0.567910074608258	0.564623226886187	0.5588835932326	0.599344602309075	0.604651528615362	0.564126471875963	0.565815259335705	0.578091066184271	0.559165866113754	0.571963433792467	0.574301070312578	0.538825617872982	0.575923544150093	0.573386740686589	0.574701105967157	0.520518965516183	0.52391953277934	0.531827989537872	0.635429417487961	0.618930078192169	0.61556717520292	0.624788590787941	0.582149789477137	0.580654831139697	0.420286474046432	0.412767051322567	0.393190680998354	0.567539244866334	0.517393464157833	0.558268940014648	0.584867092027082	0.557326133723044	0.567677830854122	0.578541059210074	0.535456562941256	0.589032196811145	0.605129942526158	0.592690101989479	0.557579108220545	0.605242960605068	0.613543758699283	0.56572293691814	0.615082140341674	0.609520944531714	0.558435726775449	0.575542026149832	0.509852544771108	0.506190282618276	0.519204385144812	0.481714105686324	0.51466337870305	0.49977040802223	0.453057649577545	0.495075775020253	0.492735236284959	0.484739171783018	0.496262908924613	0.491128866764902	0.471588604303584	0.481734593535281	0.486467529211212	0.478325826552637	0.518398152136401	0.495237680844057	0.512185076122821	0.374313913068621	0.373508880793161
Cerebrum_3	0.90630427933792	0.895062106165058	1	0.76699232342386	0.77253802867829	0.776638305470956	0.582713228937205	0.580154580780952	0.576060584883458	0.534676840565923	0.596914609392375	0.487400604597932	0.483261008635655	0.483518502620996	0.564510791179237	0.523452937905667	0.562065952757099	0.532344043085925	0.591712608763364	0.565452755417551	0.559580267529471	0.545517466623325	0.554461111521137	0.587396079975098	0.574480131205404	0.586354460674822	0.552298085471957	0.552610627503338	0.580604071120018	0.556201938361811	0.541994028490682	0.552135843283196	0.548627567909686	0.533505883078199	0.579848476131024	0.490308093748982	0.479733187838682	0.536182056273276	0.616825703246015	0.592537016699239	0.6271255918956	0.606654574053895	0.545914604109463	0.59666390282578	0.417896648099791	0.416798490393512	0.399526235567583	0.552091601669658	0.527677515160272	0.531256615356783	0.559596810343521	0.569030849050607	0.543504507999651	0.552636260088221	0.54907620457289	0.566333083973993	0.578108779114306	0.597022266884538	0.523225577830299	0.606631033227213	0.580220448226222	0.572111863959885	0.585247508606992	0.6185889550025	0.54608272508189	0.543631613013531	0.495378907722949	0.489965326621289	0.505616125298818	0.457029433628522	0.503708564240345	0.484370549968853	0.449697519692579	0.481661298507947	0.470296964029958	0.488988341793749	0.486082911479999	0.467234268270367	0.471669521571882	0.46802156906291	0.472012579000222	0.467525860243418	0.500842542876485	0.479397943433036	0.494685089079961	0.381554922764279	0.362316874015851
Cerebellum_1	0.787161278923816	0.766968589838535	0.76699232342386	1	0.938964481494728	0.9264115624459	0.635171832118306	0.642004122650628	0.633563720407188	0.59138482907756	0.608376155137044	0.514416431610578	0.504191198978315	0.493200119479553	0.613390221012664	0.577393986761752	0.578774146833997	0.572023981917717	0.625585825552393	0.582042031251951	0.60182752008593	0.576489987178206	0.578255919813659	0.623199623516455	0.602327968269977	0.578303067208145	0.602308331499769	0.588058948775775	0.587469294837196	0.591960265301412	0.570437496615635	0.552579344735272	0.599016902141828	0.575600114275194	0.591474746369306	0.558681278901141	0.534781421265183	0.561269028136687	0.652308904156762	0.614255584870193	0.617517463088304	0.647198235939327	0.58731562903334	0.595028822515794	0.432837930877848	0.435237432206466	0.408111811327171	0.580864422788778	0.522774536643185	0.557471374620098	0.584523688710851	0.561681290828229	0.569457338533228	0.577448187622447	0.54090665086267	0.595641132751162	0.605532869935948	0.598206452867718	0.553207170355905	0.610842083405201	0.604773357520879	0.57847542856029	0.608995110532727	0.617318715710258	0.589850744483694	0.581535131254051	0.530833761924675	0.51166649874439	0.531666737611084	0.485042999836552	0.536168652522583	0.506113253993992	0.45949591087054	0.517826240348069	0.498387357438868	0.496408085910619	0.519897611986343	0.489300582299249	0.483235409979711	0.505907066961202	0.490212617541392	0.490227074295107	0.538469198305551	0.4920897155266	0.53604888418782	0.393585581493506	0.387263690467203
Cerebellum_2	0.779760643210526	0.784283856870459	0.77253802867829	0.938964481494728	1	0.922334821028238	0.635687435663781	0.640383234526433	0.623435274041317	0.603303788891995	0.608722215810859	0.513038298913472	0.517198286202869	0.49346032320431	0.606995008051429	0.590923086867092	0.58066207966996	0.562121300846964	0.6180464131079	0.583739002827613	0.593131922972263	0.589123762392491	0.578031552307289	0.614536979270887	0.614552093200748	0.581703202187239	0.594205334212174	0.59848754771254	0.589387680722313	0.585681447396339	0.582490208789831	0.550878649696279	0.595472398406986	0.591224217313562	0.594750982237819	0.553308285252227	0.547035204661992	0.561383356356192	0.645310561570987	0.628648724895987	0.621028924925995	0.639743913738383	0.600000715296272	0.593385782566272	0.435279740110855	0.438224742598675	0.407012472383537	0.579927348595853	0.524528654762361	0.554169738435021	0.599814385488394	0.5649097891788	0.568532007900752	0.593396443583678	0.546949031414303	0.591483754757142	0.616998008213618	0.598402374437394	0.554767731059207	0.61440562816735	0.617435520269524	0.578191174159741	0.622068042575929	0.620892421497818	0.580045976471665	0.594105414024445	0.523982721865519	0.521088433875865	0.523577736001972	0.491968561158431	0.529203728353808	0.517580455924272	0.457317801538396	0.508524082130281	0.508818830627323	0.498233234272577	0.511966534379136	0.49665181295173	0.485820186326062	0.494769374007336	0.500730956043789	0.490148938838432	0.531108469127937	0.505654668004356	0.529262601997822	0.399160927429749	0.389552170751594
Cerebellum_3	0.74195722487348	0.737653805151704	0.776638305470956	0.9264115624459	0.922334821028238	1	0.626497700494213	0.628461043774332	0.592615279550765	0.555671791380644	0.608504419211891	0.480386005439571	0.480088567812167	0.480204969333786	0.575906814831887	0.544497844281963	0.581244154745935	0.539315422546022	0.590625243710041	0.572835226545527	0.5616858604167	0.545811366026808	0.561056798660018	0.584040750951991	0.576322725351936	0.586065637390221	0.560404209589823	0.557386837458394	0.589045529082068	0.555658239737109	0.543708439179084	0.556128793083309	0.557205022073799	0.543712712102334	0.594038703701047	0.513439386069837	0.498532792938303	0.556363951453546	0.606771367169097	0.584559389961321	0.618744228244704	0.603751061400679	0.554799093777914	0.601374363838864	0.431283493033062	0.429762994925278	0.409139531427116	0.550109119607213	0.529094077162847	0.523912546010596	0.559187713468232	0.564609273862694	0.537847011095863	0.551880817723818	0.547133399914544	0.557660481734242	0.576031475623134	0.589423023369607	0.520738056666348	0.601459626167866	0.576215072259857	0.57000367607303	0.582089860243629	0.613541714038027	0.555419939549024	0.548042859348901	0.497396031894596	0.491037452940023	0.496376673881214	0.454180172585	0.499366007183272	0.482000704234861	0.44255594546175	0.479333572267188	0.470342548121125	0.486631350485725	0.482777857135535	0.460250792162162	0.470159147252084	0.466765637603879	0.469016218771781	0.467052648269075	0.499933120103752	0.474016768109018	0.496711942649603	0.397545277291475	0.377973203741738
Retina_1	0.590797780382165	0.584701172281085	0.582713228937205	0.635171832118306	0.635687435663781	0.626497700494213	1	0.927042170028751	0.596424863792648	0.601865681576364	0.611654675341387	0.516286788589556	0.520516673818704	0.506706687959395	0.603760485641785	0.596197358765876	0.608241604890716	0.60213476033733	0.565726142430835	0.561665723414904	0.540931449110913	0.530271102002436	0.547358657364141	0.565820556881679	0.570924842400268	0.537415789453757	0.542717186623479	0.544021380442226	0.538885245609293	0.601210965438462	0.597538900783477	0.568942256317813	0.610198701558927	0.606107369384985	0.619055720806069	0.574937600713878	0.569003433508257	0.575765657896661	0.633617715183462	0.619024443878936	0.633887963999942	0.625103892439533	0.609882322224532	0.611316091329505	0.510478977241673	0.498571155961946	0.476262142433096	0.565471375775477	0.540103052312412	0.533795209942248	0.584764433112017	0.562660445436493	0.580598199430001	0.570994844676685	0.554930977796564	0.579236195699208	0.608904500382706	0.594874056952451	0.57083007057379	0.612363960279205	0.60685279499413	0.569942418796693	0.625710788191682	0.614931731983229	0.573187659000123	0.576728239064982	0.527328620767233	0.515864630524035	0.518763808293351	0.495351691060624	0.525832682305214	0.505243663300172	0.48979191706547	0.512419227513908	0.50326204245177	0.510207460166949	0.502059313141868	0.502919828829066	0.498362149390384	0.493883459694332	0.497944415027545	0.495668076514141	0.53221412683605	0.509084638454715	0.532786922960877	0.435292629950113	0.424032983432627
Retina_2	0.59348828748554	0.587873476017339	0.580154580780952	0.642004122650628	0.640383234526433	0.628461043774332	0.927042170028751	1	0.607291966962705	0.615540468592322	0.619210118125774	0.532674779681005	0.533620689718659	0.526533884698026	0.613134884432926	0.609099395642811	0.617121697115763	0.611348658947521	0.57099040322714	0.566697528486558	0.54822700410342	0.537263103950286	0.553279874711827	0.573291739075298	0.577546079373699	0.537767352522995	0.550280901157187	0.550319395112139	0.541939568297799	0.60750163455655	0.604144911412908	0.573003281218839	0.620245617121413	0.617339413013868	0.624903246196682	0.591763318049179	0.582384744899797	0.587035496102454	0.644742173445634	0.624631004559766	0.639200149795574	0.634237984677291	0.616786700361313	0.609093315299711	0.513882637589191	0.502699039807873	0.476678573999268	0.565460864168861	0.539875841399129	0.534352975092176	0.583049093291585	0.562378070673786	0.580181448825761	0.570780201111031	0.552983316215462	0.582406047090954	0.610236741057998	0.598808528971701	0.574194829741473	0.613744049139259	0.608917033204185	0.569072327932704	0.627987588412859	0.616407507789354	0.580048426873342	0.587930938723384	0.535777911584527	0.510986842641685	0.529996373986864	0.507248071819708	0.535595579714499	0.506395734481868	0.490944102850468	0.524428983979167	0.512914642020353	0.503075911233793	0.512816044052761	0.51384598160492	0.501376037321618	0.508335321626992	0.496770985896394	0.509906582861166	0.544259479939603	0.505360120068799	0.541880828965141	0.43108620411658	0.42434685908806
Colon_1	0.608072409492188	0.594886235976159	0.576060584883458	0.633563720407188	0.623435274041317	0.592615279550765	0.596424863792648	0.607291966962705	1	0.870866874100713	0.878106744215637	0.709539313776226	0.688762435796434	0.675239450189518	0.876320664328754	0.854917620133563	0.838947208538933	0.789203434838461	0.713676213739891	0.657233599958425	0.690628497787338	0.661260901253408	0.659654250203646	0.727142244471786	0.710398416480946	0.648499871285107	0.691128486306945	0.673018103479559	0.653976359150039	0.787219412575167	0.755122307469068	0.721001147741627	0.850439350122095	0.823318809264075	0.827891844200813	0.829768584144576	0.803186930793544	0.822607248223995	0.84332347584976	0.804885558649748	0.803458174424841	0.8170693532051	0.757099951817589	0.761968265180573	0.533458577559896	0.516209689041626	0.490698645066019	0.765297505008916	0.686050806442141	0.733229556976621	0.754969317527182	0.732223432238966	0.759300490433481	0.749142871339011	0.713970013870251	0.798155212755538	0.792031752131315	0.776258552852909	0.74342176925429	0.792306436304775	0.796054520036733	0.741547907612205	0.780448850419139	0.762488610040588	0.75349111895235	0.750742161230046	0.678975488497286	0.665025858175613	0.687987460812529	0.640950269226493	0.68599628763263	0.647965800853815	0.599703475279799	0.685582186353287	0.661051676805164	0.643246041506496	0.674082855492947	0.649897022533628	0.63336751096639	0.660699898400346	0.636649226012532	0.648400474864359	0.715214180590486	0.650013493360149	0.705414665487933	0.543378083410178	0.500424671061937
Colon_2	0.573577302505401	0.578905086921655	0.534676840565923	0.59138482907756	0.603303788891995	0.555671791380644	0.601865681576364	0.615540468592322	0.870866874100713	1	0.855867113637889	0.692699321560531	0.701366646620412	0.664509672722469	0.850315615099734	0.897121436659126	0.833070513621595	0.795392643580397	0.673135603198192	0.658202605514289	0.662250950191319	0.665008886304059	0.667975874636623	0.69543975358383	0.718710019615062	0.609322249542986	0.671417440074229	0.682376294556266	0.62984363761564	0.757533643438114	0.771060082504524	0.69172365347088	0.846820889133717	0.8704673829492	0.829447519048085	0.850557657733127	0.865631080395206	0.824882561790042	0.822547604766908	0.820971465636209	0.792578163286244	0.795222748850554	0.805688527684911	0.760987257701512	0.516979055036972	0.487651045816895	0.46031877015205	0.756381002679214	0.695530448062972	0.727517265255135	0.781588801683942	0.725766382217197	0.768843884185058	0.772805446555397	0.706729863389829	0.782980817101579	0.816780154978551	0.765784410453698	0.778877328311914	0.789884661107529	0.81662390713838	0.729275240516847	0.812021468399423	0.752239853768913	0.73882580149313	0.77652244278324	0.678982025493927	0.666468770285555	0.688212582110321	0.670975815250592	0.683754915552832	0.654939557323305	0.622206380564982	0.689049753985575	0.690008633220733	0.648878392224289	0.672624991432961	0.684800119722145	0.648441630149136	0.668772704897266	0.651806460499361	0.67238852080952	0.724244255647223	0.672803518864353	0.715365063179726	0.535195728851536	0.501247862993149
